id,swedish,status,severity,verdict,add_or_fix,direction,issue,why,verifier_note,current_properties
brown-sauce,brunsås,draft,danger,confirmed,"contains-gluten, meat",missing-property,Brunsås missing gluten and meat,Swedish brunsås is a wheat-flour roux on meat fond/sky (alias 'sky' confirms); only dairy is tagged.,Row has dairy+lactose only. Swedish brunsås is by definition a wheat-flour roux on köttfond/sky (alias 'sky' present) — missing contains-gluten and meat.,"animal-product,contains-lactose,dairy,processed"
bubbel,bubbel,validated,danger,confirmed,sulfites,missing-property,Sparkling wine missing sulfites,"Wine/champagne virtually always carries declarable sulfites; other wine-based rows in the register (balsamico, grå vinäger) have it.",Row 1859 has contains-alcohol but no sulfites. Sparkling wine virtually always exceeds the 10 mg/l sulfite declaration threshold; other wine rows in the register carry it. Confirmed missing.,"contains-alcohol,plant-based,vegan-friendly"
buljong,buljong,validated,danger,confirmed,"meat, celery (potentially fish)",missing-property,"Generic 'buljong' tagged plant-based,vegan-friendly with no meat/fish/celery",Unqualified buljong in Swedish recipes is usually köttbuljong/hönsbuljong and stock cubes routinely contain selleri; assuming plant-based produces false free-from verdicts for kött and selleri.,"Generic 'buljong' (alias buljongtärning, status validated) tagged plant-based/vegan-friendly. Unqualified buljong in Swedish recipes usually means kött-/hönsbuljong, and stock cubes routinely contain selleri — asserting vegan on a generic catch-all produces false free-from kött/selleri (and potentially fish) verdicts. Generic rows should carry no vegan assertion.","plant-based,vegan-friendly"
caesar-salad,caesarsallad,draft,danger,confirmed,egg,missing-property,Ready caesar salad missing egg,Caesar dressing is egg-based (mayonnaise/raw yolk) — the sibling row caesar-dressing correctly carries egg; the salad would give a false 'fri från ägg'.,Row 1825 carries gluten/dairy/fish but no egg. Caesar dressing is egg-based (raw yolk/mayonnaise) in the standard product; sibling caesar-dressing row reportedly has egg. Missing egg → false 'fri från ägg'.,"animal-product,contains-gluten,contains-lactose,dairy,doesnt-freeze-well,fish,processed,seafood"
char-siu-sauce,char siu sås,draft,danger,confirmed,contains-gluten,missing-property,Char siu sauce lacks contains-gluten (and often sesame),"Char siu sauce is soy-sauce/hoisin-based and typically contains wheat; many brands also contain sesame. Only soy is tagged, so gluten- or sesame-allergic users would get a false free-from.","Row 270 tagged soy only, marked vegan-friendly. Dominant brands (Lee Kum Kee) contain wheat flour and wheat-containing soy sauce — gluten is typical composition, so missing contains-gluten is a dangerous miss. Sesame is brand-dependent (weaker claim).","plant-based,processed,soy,vegan-friendly"
chicken-oyster,kycklingoystern,draft,danger,confirmed,mollusc,bad-alias,Alias 'ostron' means oyster (mollusc),"A recipe listing 'ostron' (real oysters) could match this chicken cut, which carries no mollusc property — false 'free from blötdjur/skaldjur' for a mollusc-allergic user. Keep 'ryggbit', drop 'ostron'.","Row 321 confirmed: alias list is 'ostron;ryggbit' and search terms include 'oyster'. A recipe listing 'ostron' (real oysters, mollusc) matches a chicken row with no mollusc property → false 'free from blötdjur/skaldjur'. Dangerous bad alias, drop 'ostron'/'oyster'.","animal-product,meat,needs-cooking,poultry"
choklad,choklad,validated,danger,confirmed,"dairy, contains-lactose",missing-property,"Generic 'choklad' tagged plant-based,vegan-friendly with no dairy/lactose (or soy)",Unqualified choklad is very often mjölkchoklad and nearly all chocolate contains soy lecithin (a labelled soy allergen); generic entry should carry at least dairy.,"Row verified: props plant-based,vegan-friendly only, no dairy/lactose/soy. Unqualified 'choklad' in Swedish recipes is very commonly mjölkchoklad, and virtually all chocolate (incl. dark) carries soy lecithin, a labelled allergen. Tagging it vegan-friendly with zero allergens yields dangerous false mjölk/soja-free verdicts.","plant-based,vegan-friendly"
chokladmousse,chokladmousse,validated,danger,confirmed,"dairy, contains-lactose, egg",missing-property,Chocolate mousse tagged plant-based/vegan-friendly with no dairy or egg,Classic mousse au chocolat is whipped cream + egg; a recipe with chokladmousse would be marked free from mjölk and ägg.,Row 1883 tagged plant-based/vegan-friendly with no dairy/egg. Classic chokladmousse is whipped cream + egg; a vegan default is not a legitimate cautious model for this generic term. False 'fri från mjölk/ägg'.,"plant-based,processed,vegan-friendly"
cookie-butter,cookie butter,validated,danger,confirmed,contains-gluten,missing-property,Cookie butter (speculoospread) missing contains-gluten,Same product family as biscoff-spread: ground wheat cookies.,"Row 1893: same product family as biscoff-spread (aliases 'speculoospread', 'Biscoff spread'), no contains-gluten. Ground wheat cookies — certain danger.","plant-based,vegan-friendly"
cucumber-relish,bostongurka,validated,danger,confirmed,mustard,missing-property,Bostongurka missing mustard,Swedish bostongurka (Felix etc.) contains senapsfrön as a standard ingredient; senap is an EU-declared allergen.,"Row 1898 (bostongurka, validated) has no mustard property. Felix and other standard bostongurka list senapsfrön among ingredients; senap is an EU Annex II allergen. Confirmed missing.","doesnt-freeze-well,processed,vegan-friendly"
cumberland-sauce,cumberlandsås,validated,danger,confirmed,mustard,missing-property,Cumberlandsås classically contains mustard and port wine but carries neither mustard nor alcohol/sulfites,Standard Cumberland sauce = redcurrant jelly + portvin + senap(spulver) + citrus. Missing mustard gives a false free-from-senap verdict; missing contains-alcohol/sulfites (port) is a secondary miss.,"Row (validated) has no mustard, alcohol or sulfites. Classic Cumberlandsås = vinbärsgelé + portvin + senap; the mustard miss is a genuine senap safety gap; port → alcohol/sulfites secondary.","plant-based,vegan-friendly"
daim-bits,daim bits,validated,danger,confirmed,"dairy, contains-lactose, tree-nut",missing-property,Daim is milk chocolate with almond brittle but is tagged plant-based/vegan-friendly,Daim contains milk chocolate (dairy/lactose) and almonds (tree-nut); current props produce false 'free from mjölk/laktos/nötter' verdicts.,"Row 1900 tagged plant-based/vegan-friendly, status validated. Daim is milk chocolate over almond butter-toffee — dairy, lactose, and tree-nut all missing. Clearly wrong and the most dangerous row in the set.","plant-based,processed,vegan-friendly"
dill-sauce,dillsås,validated,danger,confirmed,dairy (+egg/gluten/fish depending on variant),missing-property,Dillsås marked plant-based/vegan with no allergen props,"Classic Swedish dillsås is either a roux-based sauce (wheat flour + cream, often fish stock) or a cold mayo/gräddfil-based sauce — dairy and typically egg or gluten. As tagged it produces false 'free from mjölk/ägg/gluten' and even a false vegan claim; and it's status=validated.","Row (validated) is plant-based,vegan-friendly with zero allergen props. Classic dillsås is roux (wheat) + grädde, often fish stock, or gräddfil/mayo-based — dairy at minimum is typical; false mjölk-free plus a false vegan claim.","doesnt-freeze-well,plant-based,vegan-friendly"
dumpling-frozen,dumplings frysta,draft,danger,confirmed,pork/meat/soy,missing-property,"Frozen dumplings marked plant-based/vegan-friendly, but aliases 'gyoza;dim sum' colloquially mean pork/meat-filled dumplings that also usually contain soy and egg",Typical frozen gyoza are pork+soy; matching 'gyoza' to a vegan gluten-only row gives false 'free from fläsk/kött/soja' verdicts. Either split vegan vs meat variants or add meat/pork/soy conservatively.,Row 469 marked plant-based/vegan-friendly with aliases 'gyoza;dim sum'. Typical frozen gyoza/dim sum are pork-filled with soy (and often egg); matching those terms to a gluten-only vegan row gives false 'free from fläsk/kött/soja'. Confirmed via the alias blast radius.,"contains-gluten,needs-cooking,plant-based,processed,vegan-friendly"
falukorv,falukorv,draft,danger,confirmed,beef,missing-property,Falukorv is by definition a pork-and-BEEF sausage but lacks the beef property,Swedish falukorv (protected designation) is made from a mix of fläsk- och nötkött. Missing 'beef' gives a false 'free from nötkött' verdict. Many brands also contain potato starch and sometimes milk protein — worth a compound-product note.,"Props have pork+meat but no beef. Falukorv per Swedish standard and all mainstream brands (Scan, Lithells) is a nöt- och fläskköttskorv — beef is defining, not occasional. False 'free from nötkött'.","animal-product,meat,needs-cooking,pork,processed"
furikake,furikake,draft,danger,confirmed,fish,missing-property,Furikake lacks the fish property (and usually soy) despite typically containing dried bonito/katsuobushi flakes and soy sauce,Generic 'seafood' is not a fish trigger in the config; most furikake blends contain bonito (fish) and often soy — a fish-allergic user would get a false 'free from fisk' verdict. Soy is likewise commonly present and missing.,"Row 557 has animal-product,seafood,sesame but 'seafood' is not a config trigger and fish is absent. Typical furikake is katsuobushi (bonito, fish) based — the row itself acknowledges seafood content while failing to fire the fish trigger. Soy also commonly present and missing (secondary).","animal-product,processed,seafood,sesame"
garlic-sauce,vitlökssås,validated,danger,confirmed,"egg, dairy, contains-lactose",missing-property,"Vitlökssås/kebabsås marked plant-based,vegan-friendly with no egg/dairy — Swedish vitlökssås/kebabsås is almost always mayonnaise- or crème fraiche/gräddfil-based",Row is even 'validated'; an egg- or milk-allergic user would see a false 'free from ägg/mjölk' verdict on any kebab recipe.,Row (status: validated!) is plant-based/vegan-friendly with alias 'kebabsås'. Swedish vitlökssås/kebabsås is standardly mayonnaise or crème fraiche/gräddfil based → missing egg+dairy gives a false free-from on every kebab/pizza recipe. High-traffic and dangerous.,"plant-based,vegan-friendly"
glogg,glögg,draft,danger,confirmed,sulfites,missing-property,Glögg missing sulfites,"Glögg is wine-based; other wine rows in this chunk (rott-vin, vitt-vin, vermouth) correctly carry sulfites.",Row has contains-alcohol (so it models the wine-based product) but no sulfites; wine-based glögg carries sulfites like the sibling wine rows that do have the property.,"contains-alcohol,plant-based,vegan-friendly"
hallonmousse,hallonmousse,validated,danger,confirmed,dairy,missing-property,Raspberry mousse marked vegan/plant-based; mousse typically contains whipped cream and/or egg white (and gelatin),"Compound dessert product; default preparation carries dairy/egg, so mjölk/ägg free-from verdicts are unsafe.","Marked vegan-friendly with no dairy/egg. Typical Swedish hallonmousse is whipped cream (and/or egg white/gelatin) based — dairy is the default composition, so a 'fri från mjölk' verdict is unsafe.","plant-based,processed,vegan-friendly"
hazelnut-cream,hasselnötskräm,draft,danger,confirmed,dairy,bad-alias,Alias 'nötkräm' colloquially means Nutella-type spread which contains milk,"The row is tagged plant-based/vegan, but 'nötkräm' in Swedish usage is a chocolate-hazelnut spread (Nutella-style) containing skimmed-milk powder. Matching 'nötkräm' to this dairy-free row yields a false 'free from mjölk'.","Row 1726 is pure hazelnut butter ('Inte samma som Nutella') without dairy, but alias 'nötkräm' in everyday Swedish means Nutella-style chocolate spread containing skimmed-milk powder. Recipes saying 'nötkräm' match this dairy-free row → false 'fri från mjölk'. Fix the alias, not the props.","plant-based,tree-nut,vegan-friendly"
herring-pickled,inlagd sill,draft,danger,confirmed,mustard,bad-alias,Alias 'senapssill' is a mustard-based product but row lacks senap trigger (mustard),Senapssill is sill in mustard sauce — matching it to this row yields a false 'free from senap' verdict for a mustard allergic. Either drop the alias or the alias needs its own mustard-carrying entry.,Row 644 has alias 'senapssill' but no mustard property. Senapssill is definitionally herring in mustard sauce → false 'free from senap' for a mustard allergic. Confirmed.,"animal-product,fish,processed,seafood"
herring-salad,sillsallad,draft,danger,confirmed,"dairy, egg",missing-property,Sillsallad missing dairy/egg from the dressing,"Classic rödbetssillsallad is bound with gräddfil/vispgrädde and/or mayonnaise — dairy and often egg. Only fish is tagged, so a milk- or egg-allergic user gets a false free-from verdict.","Row 1792 tags only fish, yet its own description says 'sill, rödbeta och gräddfil' — gräddfil (sour cream) is a defining ingredient, so dairy is missing for certain. Egg (mayo) is common but variable; dairy alone makes this a confirmed danger.","animal-product,doesnt-freeze-well,fish,processed,seafood"
hp-sauce,hp-sås,draft,danger,confirmed,contains-gluten,missing-property,HP sauce contains barley malt vinegar but row lacks contains-gluten,HP-sås is labeled with korn (barley malt vinegar) as an allergen in the EU; without contains-gluten a recipe with HP-sås is falsely marked glutenfri.,"Row 654 has no contains-gluten. HP sauce contains barley malt vinegar and rye flour, both EU-labeled gluten grains — gluten is certain in the branded product the row names. Confirmed.","nightshade,plant-based,processed,vegan-friendly"
imat-fraiche,imat fraiche,validated,danger,confirmed,dairy,missing-property,iMat fraiche marked plant-based/vegan-friendly; Arla iMat is a lactose-free DAIRY product — missing dairy,"iMat is lactose-free but milk-based; a milk-allergic user would get a false 'fri från mjölk' verdict. (If the intent was an oat-based cooking cream, the alias 'lätt creme fraiche' still pulls in dairy products.)",CSV row is plant-based/vegan-friendly with no dairy. In Sweden 'iMat fraiche' is Arla's lactose-free but MILK-based cooking cream; the alias 'lätt creme fraiche' is unambiguously dairy. Missing dairy → false 'fri från mjölk'. The row's own description claiming oat-based conflicts with the canonical product name.,"doesnt-freeze-well,plant-based,processed,vegan-friendly"
köttbuljong,köttbuljong,validated,danger,confirmed,meat,missing-property,"Meat broth lacks the 'meat' property (only animal-product,processed)",kött verdict is driven by the meat property; oxbuljong alias also suggests beef. Recipe with köttbuljong would show 'fri från kött'.,"Props are only animal-product,processed — no 'meat' (or beef) property despite name köttbuljong/oxbuljong. Meat broth carries meat allergen-source; false 'fri från kött' confirmed.","animal-product,processed"
leverpatté,leverpatté,validated,danger,confirmed,pork,missing-property,Liver pâté has meat but not pork; Swedish leverpastej is pork-liver based,Users filtering fläsk would get a false free-from; leverpastej also commonly contains milk (secondary).,"Row has meat but no pork. Swedish leverpastej is standardly pork liver + pork fat (svål/späck); pork is the typical composition, so missing pork → false 'fri från fläsk'.","animal-product,meat,processed"
light-margarine,lättmargarin,draft,danger,confirmed,dairy,missing-property,Marked plant-based/vegan-friendly with no dairy; common Swedish lättmargarin (e.g. Lätta) contains buttermilk/milk,Many 40% margarines list kärnmjölk or mjölkprotein among ingredients; missing dairy (and contains-lactose) produces a false 'fri från mjölk' verdict.,"Row 744 marked plant-based/vegan-friendly, no dairy. The archetypal Swedish lättmargarin (Lätta) lists kärnmjölk (buttermilk); milk components are typical in 40% margarines. Missing dairy/contains-lactose → false 'fri från mjölk'.","plant-based,processed,vegan-friendly"
liver-pate,leverpastej,draft,danger,confirmed,dairy,missing-property,Missing dairy (and typically contains-lactose),Swedish leverpastej standardly contains milk/cream (mjölkprotein) — e.g. all mainstream brands list mjölk. Only pork/meat tagged → false 'free from mjölk' verdict.,Row 756 has pork/meat but no dairy. Mainstream Swedish leverpastej brands standardly contain milk/cream (mjölk is a declared allergen on the major brands) → false 'free from mjölk'. Confirmed.,"animal-product,meat,needs-cooking,pork,processed"
maggi-seasoning,maggikrydda,validated,danger,confirmed,contains-gluten,missing-property,"Maggi liquid seasoning marked plant-based only; European Maggi is hydrolyzed WHEAT protein (contains gluten, often labeled contains wheat)",Standard EU Maggi Würze declares vete; missing contains-gluten yields a false gluten-free verdict. Soy may also apply for some variants.,Row is plant-based/vegan-friendly with no contains-gluten. European Maggi Würze is hydrolyzed wheat protein and declares 'vete' on-label; missing contains-gluten → false gluten-free. Dangerous.,"plant-based,processed,vegan-friendly"
malsocker,malsocker,validated,danger,confirmed,contains-gluten,missing-property,"Aliased 'maltsocker, maltextrakt' but no contains-gluten — barley malt extract contains gluten","Malt/maltextrakt is made from korn (barley), an EU-declared gluten grain; false gluten-free verdict for coeliacs.","Aliases include 'maltextrakt'; malt/malt extract is made from barley (korn), an EU-declared gluten cereal. Row has no contains-gluten → false gluten-free for coeliacs. Pure maltose would be GF, but the maltextrakt alias makes gluten typical composition.","plant-based,vegan-friendly"
muesli,müsli,draft,danger,confirmed,tree-nut,missing-property,Generic müsli commonly contains nuts but has no tree-nut property,Blandad müsli very often contains hasselnötter/mandel; alias 'blandad müsli' explicitly covers mixed variants. Missing tree-nut yields a false 'free from nötter' verdict for a nut allergic — the most dangerous allergen to miss.,Row has only contains-gluten/plant-based/vegan-friendly with alias 'blandad müsli'. Mixed müsli in Sweden typically contains hazelnuts/almonds; missing tree-nut yields a false 'fri från nötter' on the most dangerous allergen.,"contains-gluten,plant-based,vegan-friendly"
naan,naanbröd,draft,danger,confirmed,dairy,missing-property,Missing dairy (and often egg); tagged vegan-friendly,"Naan is traditionally made with yoghurt and/or milk/ghee, and store-bought Swedish naan almost always lists mjölk. Without dairy/contains-lactose the app would call a naan recipe free from mjölk.","Row 870 marked vegan-friendly with only contains-gluten. Naan is traditionally yoghurt/milk/ghee-based and Swedish store naan almost always lists mjölk — dairy is typical composition, missing dairy/contains-lactose → false 'fri från mjölk'.","contains-gluten,plant-based,vegan-friendly"
nubbe-salad,nubbesallad,draft,danger,confirmed,"dairy, egg",missing-property,Nubbesallad missing dairy/egg from the dressing,Nubbesallad (herring salad with aquavit) is dressed with gräddfil/mayonnaise like sillsallad — dairy/egg missing while fish and alcohol are tagged.,"Row 1793 tags fish+alcohol only. Nubbesallad is a sillsallad variant standardly bound with gräddfil/vispgrädde — dairy missing. Egg less universal, but the dairy gap alone is dangerous.","animal-product,contains-alcohol,doesnt-freeze-well,fish,processed,seafood"
oyster-sauce,ostronsås,draft,danger,confirmed,contains-gluten,missing-property,Commercial ostronsås almost always contains wheat and often soy — contains-gluten (and soy) missing,"Typical oyster sauce (Lee Kum Kee etc.) lists wheat flour/soy; only mollusc is tagged, so a gluten-allergic user gets a false gluten-free verdict on recipes with ostronsås.",Row has only mollusc/seafood/animal-product. Commercial ostronsås (Lee Kum Kee etc.) standardly lists wheat flour (and often soy) → false gluten-free verdict. Wheat is near-universal in the category.,"animal-product,mollusc,seafood"
pancake-mix,pannkaksmix,draft,danger,confirmed,dairy (and likely egg),missing-property,"Swedish pannkaksmix almost always contains milk powder (skummjölkspulver) and often egg powder — no dairy/lactose/egg props, and 'vegan-friendly' is wrong","Mainstream mixes (Kungsörnen etc.) list skummjölkspulver; some include egg. As tagged, a recipe using pannkaksmix would be marked free from mjölk/laktos — a false free-from for a dairy-allergic user.",Row is plant-based/vegan-friendly with no dairy/lactose/egg. Mainstream Swedish pannkaksmix (Kungsörnen) lists skummjölkspulver as standard → false 'fri från mjölk/laktos' for dairy-allergic.,"contains-gluten,plant-based,processed,vegan-friendly"
pastejer,pastejer,validated,danger,confirmed,meat,bad-alias,"Marked plant-based/vegan but aliased 'paté, leverpastej' — liver pâté is a meat/pork product",A recipe listing 'leverpastej' could match this vegan-marked row and be declared free from kött/fläsk. Row 126 (paté) is the correct meat version; this row's aliases collide with it.,"Row 2076 tagged plant-based/vegan-friendly yet aliased 'paté, leverpastej' — leverpastej is a pork/liver product. A recipe listing leverpastej matches this row and is declared free from kött/fläsk. Validated status makes it worse. Confirmed dangerous alias collision.","plant-based,processed,vegan-friendly"
pea-soup,ärtsoppa,draft,danger,confirmed,"meat, pork",missing-property,Ärtsoppa tagged plant-based/vegan-friendly; Swedish canned ärtsoppa normally contains fläsk,"Standard ärtsoppa (burk) contains pork; the kött/fläsk filters would show a false 'free from' for the typical product. If the row is meant as vegetarian, aliases 'ärtsoppa burk/färdig' point at the pork product.","Row 1810 tagged plant-based/vegan-friendly, but aliases 'ärtsoppa burk/ärtsoppa färdig' point at the standard canned product, which normally contains fläsk. Matching a recipe's 'ärtsoppa burk' to this row → false 'fri från kött/fläsk'. Either props or aliases must change.","plant-based,processed,vegan-friendly"
piccalilli,piccalilli,validated,danger,confirmed,mustard,missing-property,Piccalilli is a mustard-based pickle but has no mustard property,"Piccalilli's sauce is defined by mustard (senapspulver/senapsfrö) plus turmeric and vinegar; a senap-allergic user would get a false 'free from senap' verdict. Vinegar base also suggests sulfites, but mustard is the critical miss. Row is even marked validated.","Row (validated) is plant-based,vegan-friendly with no mustard. Mustard is the defining ingredient of piccalilli's sauce → false senap-free verdict.","plant-based,vegan-friendly"
polsa,pölsa,draft,danger,confirmed,contains-gluten,missing-property,Pölsa missing contains-gluten,Pölsa/lungmos is made with korngryn (barley groats) — barley → contains-gluten per EU rules. Currently a gluten-allergic user would see pölsa as gluten-free.,Row 1670 has meat/pork but no contains-gluten. Pölsa is traditionally made with korngryn (barley) as a core ingredient per Swedish norms — barley → gluten. Dangerous false gluten-free.,"animal-product,meat,needs-cooking,pork,processed"
pork-blood-sausage,blodkorv,draft,danger,confirmed,contains-gluten,missing-property,Blodkorv lacks contains-gluten,Swedish blodkorv is thickened with rågmjöl/vetemjöl (rye/wheat flour) as a defining ingredient — a gluten-free verdict on a recipe with blodkorv would be false.,"Row has meat,pork but no contains-gluten. Swedish blodkorv is defined by its rye/wheat-flour binder — gluten is not optional in the traditional product.","animal-product,meat,pork,processed"
pork-hot-dog,varmkorvsbröd,draft,danger,confirmed,pork/meat,other,"Swedish name 'varmkorvsbröd' means hot-dog BREAD (the bun), but the row is typed as a pork sausage (meat/pork props, protein/meat/pork group)","If a recipe says 'varmkorvsbröd' it matches this row and gets pork+meat (false contains) — but a hot-dog bun typically contains milk and possibly sesame, which are then MISSING, so a dairy/sesame-sensitive user could get a false free-from verdict. Either rename to the sausage ('varmkorv' already lives on wiener-sausage) or retype as a bread with contains-gluten (+dairy).","Row swedish name is literally 'varmkorvsbröd' (the BUN) but typed protein/meat/pork with pork+meat+gluten props. A recipe's bun ingredient maps to a sausage; bun's typical dairy (and possible sesame) missing → false free-from, plus false pork-contains. Real naming defect confirmed in data.","animal-product,contains-gluten,meat,needs-cooking,pork,processed"
pork-trotter,grisfötter,draft,danger,confirmed,contains-gluten,bad-alias,"Alias 'kroketter' means croquettes (a breaded potato/meat product), not grisfötter","A recipe listing 'kroketter' would map to pig trotters (pork only). Croquettes are breaded (contains-gluten, often dairy/egg) — mapping them here yields a false gluten-free/dairy-free verdict.","Alias 'kroketter' is present on grisfötter (props: pork/meat only). Croquettes are breaded (gluten, often egg/dairy) → false gluten-free verdict for 'kroketter' recipes. Alias is simply wrong.","animal-product,meat,needs-cooking,pork"
potato-salad-prepared,potatissallad färdig,draft,danger,confirmed,egg,missing-property,Färdig potatissallad lacks egg (and often mustard/dairy) and is marked vegan-friendly,"Swedish store potato salad is mayonnaise- or crème-fraiche-based → egg (and often senap, mjölk) missing produces false free-from verdicts.","Row is plant-based/vegan-friendly (grouped vegetable/root). Swedish färdig potatissallad (Rydbergs) is mayonnaise/crème-fraiche based → egg and dairy missing, false free-from verdicts on a 'validated'-style deli staple.","doesnt-freeze-well,nightshade,plant-based,processed,vegan-friendly"
pressylta,pressylta,validated,danger,confirmed,pork,missing-property,Pressylta (brawn) marked dairy+contains-lactose but missing pork; it is a pork head-meat product with no dairy,Missing pork gives a false 'fri från fläsk'; the dairy/contains-lactose flags are simultaneously wrong-property (false contains mjölk/laktos).,"Pressylta is pork head-meat brawn; row has meat but no pork → false 'fri från fläsk'. The dairy+contains-lactose flags are also wrong-property noise (head cheese contains no dairy), corroborating a garbled row.","animal-product,contains-lactose,dairy,meat,processed"
pytt-i-panna,pytt i panna,draft,danger,confirmed,pork,missing-property,Pytt i panna tagged beef only — typical pytt contains pork (bacon/falukorv/skinka),Standard Swedish pytt i panna mixes beef with fläsk/bacon or korv; a fläsk-avoiding user (allergy or religious) gets a false 'free from fläsk' verdict. Egg is already covered.,"Row has beef+egg only. Standard Swedish pytt (homemade and commercial, e.g. Felix) contains fläsk via bacon/falukorv/skinka — pork is genuinely typical and missing.","animal-product,beef,egg,meat,needs-cooking"
quorn-mince,quornfärs,draft,danger,confirmed,egg,missing-property,Standard Quorn contains egg white (mycoprotein binder) but row has no egg and is marked vegan-friendly,Regular Quorn färs sold in Sweden uses egg albumen; only the explicitly vegan line is egg-free. Missing egg → false 'fri från ägg' verdict.,Row is plant-based/vegan-friendly with no egg. Standard Quorn färs uses egg albumen as binder; only the separate vegan line is egg-free. False 'fri från ägg' and wrong vegan flag.,"plant-based,processed,vegan-friendly"
quorn-pieces,quornbitar,draft,danger,confirmed,egg,missing-property,Standard Quorn pieces contain egg white but row lacks egg and claims vegan-friendly,Same as quorn-mince: default Quorn products contain egg albumen (and sometimes milk protein).,Same as quorn-mince: default Quorn bitar contain egg white (sometimes milk protein); row claims vegan-friendly with no egg → false egg-free verdict.,"plant-based,processed,vegan-friendly"
