id,swedish,english,group,properties,aliases_sv,aliases_en,search_terms,notes_sv,notes_en,season_availability,typical_storage,typical_unit,price_category,avg_price_sek,carbon_footprint_category,status,created_date,updated_date,created_by,verified_by,ai_generated,export_ready
anago,havsål,conger eel,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",anago;kongerål,conger eel;anago,havsal,Fisk. Förvaras fryst.,Fish.,year-round,frozen,g,premium,200,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
ancho-chili,ancho chili,ancho chili,spice/ground,"is-spicy,nightshade,plant-based,vegan-friendly",ancho anchochili,ancho chili dried poblano,ancho chili poblano,Mild mexikansk chili,Mild Mexican chili,year-round,ambient,st,medium,80,high,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
anchovy,sardell,anchovy,protein/seafood/fish,"animal-product,fish,processed,seafood",sardell;acciuga;ansjovisfilé,anchovy fillet,ansjovis,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,180,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
anchovy-swedish,ansjovis,swedish anchovy,other/condiment,"animal-product,fish,seafood",svenska ansjovis;anjovis;gubbröra ansjovis,spiced sprat;swedish anchovies,ansjovis svenska gubbröra,Skarpsill - inte sardell,Spiced sprat - not anchovy,year-round,refrigerated,g,medium,36,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
anise-seeds,anisfrön,anise seeds,spice/seed,"plant-based,vegan-friendly",anis anisfrön,anise seeds aniseed,anis anisfrön anise,Till bröd och bakverk,For bread and pastries,year-round,ambient,g,premium,110,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
annatto-seeds,annattofrön,annatto seeds,spice/seed,"plant-based,vegan-friendly",annatto achiote,annatto seeds achiote,annatto annattofrön,Gul-orange färg,Yellow-orange color,year-round,ambient,g,medium,48,high,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
appenzeller,appenzeller,appenzeller,protein/dairy,"animal-product,contains-lactose,dairy",schweizisk kryddad,Swiss Appenzeller,appenzeller,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,41,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
apple,äpple,apple,fruit/common,"plant-based,vegan-friendly",galaäpple;syrligt äpple;discovery;gala;pink lady;katja;matäpple;gravensteiner;grönt äpple;granny smith;gult äpple;aroma;äpplen;rött äpple;jonagold;ingrid marie;sött äpple;cox orange,apples;red apple;green apple;gala,äpple apple äpplen,"Vanlig frukt, många sorter","Common fruit, many varieties",year-round,refrigerated,st,medium,42,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
apple-cider,äppelcider,apple cider,other/beverage,"contains-alcohol,plant-based,sulfites,vegan-friendly",cider;svensk cider,hard cider;alcoholic cider,appelcider,Alkoholhaltig,Contains alcohol,year-round,refrigerated,ml,medium,60,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
apple-cider-vinegar,äppelcidervinäger,apple cider vinegar,other/condiment,"plant-based,sulfites,vegan-friendly",äppelvinäger;cidervinäger,cider vinegar;acv,äppelcidervinäger apple cider,Mångsidig vinäger,Versatile vinegar,year-round,ambient,ml,medium,43,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
apple-compote,äppelkompott,apple compote,fruit/common,"plant-based,processed,vegan-friendly",äppleskivor kokta;äppelröra,,appelkompott;apple compote;äppelkompott;äppelröra;äppleskivor kokta,Frukt.,Fruit.,autumn,ambient,g,budget,33,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
apple-juice,äppeljuice,apple juice,other/beverage,"plant-based,vegan-friendly",äppelmust;äpplesaft,apple cider;apple juice,appeljuice,Dryck. Förvaras kallt.,Beverage.,year-round,refrigerated,ml,medium,43,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
apple-rings-dried,torkade äppelringar,dried apple rings,fruit/dried,"plant-based,processed,sulfites,vegan-friendly",torkade äpplen;äppelchips,,dried apple rings;torkade appelringar;torkade äppelringar;torkade äpplen;äppelchips,Torkad frukt.,Dried fruit.,year-round,ambient,g,premium,110,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
applesauce,äppelmos,applesauce,other/condiment,"plant-based,vegan-friendly",äpple mos,apple sauce;apple puree,äppelmos applesauce,Till fläsk,For pork,year-round,ambient,g,medium,60,low,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
apricot,aprikos,apricot,fruit/stone,"plant-based,vegan-friendly",aprikoser;färska aprikoser,,apricot;aprikos;aprikoser;färska aprikoser,Stenfrukt.,Stone fruit.,summer,ambient,g,medium,80,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
apricots-dried,torkade aprikoser,dried apricots,fruit/dried,"plant-based,processed,sulfites,vegan-friendly",aprikoser torkade;torkad aprikos,,aprikoser torkade;dried apricots;torkad aprikos;torkade aprikoser,Torkad frukt.,Dried fruit.,year-round,ambient,g,premium,120,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
arborio-rice,arborioris,arborio rice,grain/whole,"plant-based,vegan-friendly",risottoris,risotto rice,arborioris;risotto,Fullkorn.,Whole grain.,year-round,ambient,g,medium,37,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
arctic-char-smoked,rökt röding,smoked arctic char,protein/seafood/fish,"animal-product,fish,processed,seafood",rökt fjällröding,smoked char,roktroding,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,240,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
argan-oil,arganolja,argan oil,fat/oil,"plant-based,vegan-friendly",argan olja;marockansk olja,moroccan argan oil,arganolja argan marockansk,Marockansk delikatess,Moroccan delicacy,year-round,ambient,ml,medium,80,medium,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
aronia-berry,aronia,aronia berries,fruit/berry,"plant-based,vegan-friendly",aronia bär;svarta aronia,,aronia;aronia berries;aronia bär;svarta aronia,Bär.,Berry.,autumn,ambient,g,medium,80,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
arrowroot,arrowrot,arrowroot,grain/flour/gluten-free,"plant-based,vegan-friendly",arrowrotmjöl;arrowroot stärkelse,arrowroot flour;arrowroot starch,arrowrot stärkelse,Neutral stärkelse,Neutral starch,year-round,ambient,g,medium,70,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
artichoke,kronärtskocka,artichoke,vegetable/stem,"plant-based,vegan-friendly",ärtskocka,globe artichoke,kronärtskocka;ärtskocka;artichoke,Medelhavsdelikatess. Ät hjärtat och bottnen.,Mediterranean delicacy. Eat the heart and bottom.,year-round,refrigerated,st,medium,60,medium,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
artichoke-heart-canned,kronärtskockshjärtan,artichoke hearts,vegetable/stem,"plant-based,vegan-friendly",ärtskockshjärtan burk,canned artichoke hearts,kronärtskockshjärtan;ärtskockshjärtan,Praktisk variant. Perfekt i sallad och pasta.,Practical variant. Perfect in salad and pasta.,year-round,ambient,st,medium,50,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
arugula,rucola,arugula,vegetable/leaf,"doesnt-freeze-well,plant-based,vegan-friendly",rucolasallad;senapskål;ruccola;raketsallad,rocket,rucola;rucolasallad;arugula;rocket,Pepprigt och bitter. Klassiker på pizza och i sallad.,Peppery and bitter. Classic on pizza and in salads.,year-round,refrigerated,bag,medium,48,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
asafoetida,asafoetida,asafoetida,spice/ground,"plant-based,vegan-friendly",asafetida hing,asafoetida hing,asafoetida hing,Indisk lökersättare,Indian onion substitute,year-round,ambient,g,medium,60,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
asiago,asiago,asiago,protein/dairy,"animal-product,contains-lactose,dairy",italiensk hårdost,Italian Asiago,asiago,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,47,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
asp,asp,asp,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",aspfilé,asp fish,asp,Fisk. Förvaras kallt.,Fish.,autumn,refrigerated,g,premium,220,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
asparagus-green,grön sparris,green asparagus,vegetable/stem,"plant-based,vegan-friendly",sparris grön,green asparagus,grön sparris;sparris,Vårens lyxgrönsak. Bryt av träig del i änden.,Spring luxury vegetable. Snap off woody end.,spring,refrigerated,bunch,premium,120,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
asparagus-white,vit sparris,white asparagus,vegetable/stem,"plant-based,vegan-friendly",sparris vit;bleksparris,white asparagus,vit sparris;bleksparris,Klassisk delikatess. Skala innan tillagning.,Classic delicacy. Peel before cooking.,spring,refrigerated,bunch,medium,80,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
atemoya,atemoya,atemoya,fruit/exotic,"plant-based,vegan-friendly",custard apple,,atemoya;custard apple,Exotisk frukt.,Exotic fruit.,year-round,ambient,g,medium,70,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
avocado,avokado,avocado,vegetable/fruit-veg,"plant-based,vegan-friendly",avokadon,avocados,avokado;avocado,Nyttig fettrik frukt. Mognar i rumstemperatur.,Healthy fatty fruit. Ripens at room temperature.,year-round,ambient,st,budget,24,high,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
avocado-oil,avokadoolja,avocado oil,fat/oil,"plant-based,vegan-friendly",avokado olja,avocado oil,avokadoolja avocado oil,Hög rökpunkt,High smoke point,year-round,ambient,ml,medium,70,medium,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
ayran,ayran,ayran,protein/dairy,"animal-product,contains-lactose,dairy",turkisk yoghurtdryck;doogh,Turkish yogurt drink;doogh,ayran,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,ml,medium,80,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
baby-squid,babybläckfisk,baby squid,protein/seafood/shellfish,"animal-product,mollusc,needs-cooking,seafood",små bläckfiskar;chipirones,baby calamari;chipirones,babyblackfisk,Skaldjur. Förvaras fryst.,Shellfish.,year-round,frozen,g,premium,300,low,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
bacon-fat,baconfett,bacon fat,fat/solid,"animal-product,meat,pork,processed",bacon fett;stekt baconfett,rendered bacon fat;bacon drippings,baconfett bacon fat,Sparat från baconstekning,Saved from cooking bacon,year-round,refrigerated,g,medium,90,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
bagel,bagel,bagel,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",bagels,bagels,bagel,Kokt och bakat bröd,Boiled and baked bread,year-round,ambient,st,medium,60,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
baguette,baguette,baguette,grain/pasta-bread,"contains-gluten,plant-based,vegan-friendly",franskt bröd;långfranska;franskbröd;baguett,french bread,baguette fransk bröd,Franskt bröd,French bread,year-round,ambient,st,medium,50,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
baharat,baharat,baharat,spice/blend,"plant-based,vegan-friendly",baharat,baharat,baharat,Arabisk kryddblandning,Arabic spice blend,year-round,ambient,g,medium,100,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
baked-beans,baked beans,baked beans,vegetable/legume,"plant-based,processed,vegan-friendly",heinz bönor;vita bönor i tomatsås,beans in tomato sauce,baked beans;heinz,Klassiker till frukost. Vita bönor i tomatsås.,Breakfast classic. White beans in tomato sauce.,year-round,ambient,st,budget,30,low,needs-review,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
baking-ammonia,hjorthornssalt,baking ammonia,other/baking,"plant-based,vegan-friendly",ammoniumbikarbonat,ammonium bicarbonate,hjorthornssalt;ammonia,Bakingrediens.,Baking ingredient.,year-round,ambient,g,medium,50,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
baking-powder,bakpulver,baking powder,other/baking,"plant-based,vegan-friendly",jäsmedel kemiskt,baking powder,bakpulver baking powder,Kemiskt jäsmedel,Chemical leavening,year-round,ambient,g,medium,50,low,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
baking-soda,bikarbonat,baking soda,other/baking,"plant-based,vegan-friendly",natron;natriumbikarbonat,bicarbonate of soda;sodium bicarbonate,bikarbonat natron baking soda,Basiskt jäsmedel,Alkaline leavening,year-round,ambient,g,budget,22,low,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
balsamic-vinegar,balsamvinäger,balsamic vinegar,other/condiment,"plant-based,sulfites,vegan-friendly",balsamico;italiensk vinäger;mörk balsamvinäger,balsamico;italian vinegar,balsamvinäger balsamico,Italiensk vinäger,Italian vinegar,year-round,ambient,ml,medium,50,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
bamboo-shoots,bambusskott,bamboo shoots,vegetable/stem,"plant-based,vegan-friendly",bambuskott;skott,bamboo shoots,bambusskott;bambuskott,Krispiga i wok. Finns på burk eller färska.,Crispy in stir-fry. Available canned or fresh.,year-round,ambient,st,budget,33,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
banana,banan,banana,fruit/exotic,"plant-based,vegan-friendly",bananer;banan;bananer;mogna bananer;gula bananer;mogen banan,banana;bananas;ripe banana,banan;banana;bananer;gula bananer;mogen banan;mogna bananer,Exotisk frukt.,Exotic fruit.,year-round,ambient,g,medium,60,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
banana-chips,bananchips,banana chips,fruit/dried,"plant-based,processed,vegan-friendly",torkade bananer;bananchipsen,,banana chips;bananchips;bananchipsen;torkade bananer,Torkad frukt.,Dried fruit.,year-round,ambient,g,medium,100,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
banana-flour,bananmjöl,banana flour,grain/flour/gluten-free,"plant-based,vegan-friendly",grön bananmjöl,green banana flour,bananmjöl banana flour,Av gröna bananer,From green bananas,year-round,ambient,g,budget,30,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
barley,korn,barley,grain/whole,"contains-gluten,plant-based,vegan-friendly",helkorn,barley grain;whole barley,korn barley gryn,Helt korn,Whole barley grain,year-round,ambient,g,budget,35,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
barley-flakes,kornflingor,barley flakes,grain/cereal,"contains-gluten,plant-based,vegan-friendly",korncereal,barley cereal,kornflingor barley flakes,Kornflingor,Barley flakes,year-round,ambient,g,medium,60,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
barley-flour,kornmjöl,barley flour,grain/flour/gluten-containing,"contains-gluten,plant-based,vegan-friendly",korn mjöl,barley flour,kornmjöl barley flour,Milt sött,Mildly sweet,year-round,ambient,g,budget,28,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
barley-groats,korngryn,barley groats,grain/whole,"contains-gluten,plant-based,vegan-friendly",korngryn till gröt;hela korngryn,barley groats;pot barley,korngryn barley groats,Svenskt husmanskost,Swedish traditional,year-round,ambient,g,budget,32,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
barracuda,barracuda,barracuda,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",spet,barracuda,barracuda,Fisk. Förvaras fryst.,Fish.,year-round,frozen,g,premium,190,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
barramundi,barramundi,barramundi,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",jättehavsabborre,Asian sea bass,barramundi,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,premium,140,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
basil-dried,torkad basilika,dried basil,spice/herb-dry,"plant-based,vegan-friendly",basilika torkad,basil dried,basilika torkad dried basil,Passar i såser och grytor,Good in sauces and stews,year-round,ambient,g,budget,33,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
basil-fresh,färsk basilika,fresh basil,spice/herb-fresh,"plant-based,vegan-friendly",basilika,basil,basilika basil baslika,Klassisk ört i italiensk mat,Classic Italian herb,summer,refrigerated,pot,budget,25,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
basmati-rice,basmatiris,basmati rice,grain/whole,"plant-based,vegan-friendly",indiskt ris,Indian rice,basmatiris;basmati,Fullkorn.,Whole grain.,year-round,ambient,g,medium,40,low,validated,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
bay-leaf-dried,lagerblad,bay leaf,spice/herb-dry,"plant-based,vegan-friendly",lagerblad laurel,bay leaf laurel,lagerblad bay leaf laurel,Klassisk i grytor,Classic in stews,year-round,ambient,st,medium,70,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
bbq-rub,grillkrydda,bbq rub,spice/blend,"nightshade,plant-based,vegan-friendly",bbq rub grillrub,bbq rub grill seasoning,grillkrydda bbq rub,Till grillat kött,For grilled meat,year-round,ambient,g,premium,140,low,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
bbq-sauce,bbq-sås,bbq sauce,other/condiment,"nightshade,plant-based,processed,vegan-friendly",barbecuesås;grillsås,barbecue sauce;grill sauce,bbq sås barbecue grillsås,Amerikansk grillsås,American grill sauce,year-round,ambient,ml,medium,80,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
bean-burger,bönburgare,bean burger,protein/plant-based,"needs-cooking,plant-based,vegan-friendly",bönbiff;svartbönsburgare;grönsaksburgare,veggie burger;black bean burger,bonburgare,Växtbaserat protein. Förvaras kallt.,Plant-based protein.,year-round,refrigerated,g,medium,60,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
bean-burger-mix,bönburgarmix,bean burger mix,protein/plant-based,"plant-based,processed,vegan-friendly",bönbiffmix,bean patty mix,bönburgare;mix,Växtbaserat protein.,Plant-based protein.,year-round,ambient,g,medium,60,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
bean-sprouts,böngroddar,bean sprouts,vegetable/sprout,"plant-based,vegan-friendly",mungböngroddar;grodd,mung bean sprouts,böngroddar;groddar;bean sprouts,Krispiga i wok och sallad. Används färska.,Crispy in stir-fry and salad. Use fresh.,year-round,refrigerated,bag,medium,70,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
bearnaise,bearnaisesås,bearnaise sauce,other/condiment,"animal-product,contains-lactose,dairy,doesnt-freeze-well,egg",bearnaise;béarnaise,bearnaise,bearnaisesås bearnaise,Fransk smörsås,French butter sauce,year-round,refrigerated,ml,medium,60,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
beaufort,beaufort,beaufort,protein/dairy,"animal-product,contains-lactose,dairy",fransk alpost premium,French Beaufort,beaufort,Mejeriprodukt. Förvaras kallt.,Dairy product.,year-round,refrigerated,g,medium,37,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
